feature_index,importance
3263,0.00017242278000717754
1312,0.0001722283706663067
909,0.0001716376694530369
2151,0.00017135096446686674
4757,0.00017082035284980877
2565,0.00016990298433850587
3724,0.00016941467886784784
240,0.00016876027811154945
4739,0.00016841907081266178
945,0.0001676947569913272
6153,0.0001667927735287857
7572,0.00016652782123969235
7567,0.00016631013401844302
2413,0.00016608738868572777
2707,0.00016606206443515155
6396,0.00016597707157648323
348,0.0001656312334591872
2207,0.00016528066787437876
2416,0.00016328256594893976
1352,0.00016294039871088623
66,0.00016219577399820742
1542,0.0001621949316689521
528,0.0001620784023655247
5741,0.0001619168613332872
209,0.00016184473425914547
13633,0.00016042291889208467
1036,0.00016018970463421107
1479,0.00016015271006157114
1321,0.0001591728100770467
5980,0.00015814571161843467
3730,0.0001577487977678958
3875,0.00015768315670704362
1413,0.0001574540557463654
224,0.0001569381289954222
728,0.00015680962352641385
6254,0.00015636374649430048
7053,0.00015578745569941644
3722,0.00015561265442286834
5732,0.00015460965079215017
2150,0.00015411703909201446
2803,0.0001540778046639791
2430,0.00015391316798213747
5976,0.00015371310473472947
330,0.0001533986942949723
4894,0.0001533811125717647
70,0.00015325356654452248
4053,0.00015282144101891028
5737,0.00015276421465675873
1452,0.00015208266811266973
4616,0.00015195105147754794
13519,0.0001517111009300824
4770,0.0001516067897570062
3831,0.00015127089649524586
2137,0.00015103522473997543
13520,0.00014990807232165932
1425,0.00014954076552541854
4012,0.0001488486472458361
6403,0.00014843780226315789
975,0.0001483168192704657
981,0.00014825380021074353
1531,0.00014765496563982845
2545,0.00014754775192389713
3936,0.0001473829817121731
2299,0.00014727853001527237
3729,0.0001472218236812712
3868,0.0001469102337003556
726,0.0001467199180292537
4590,0.0001464142208797362
725,0.00014540815831413676
758,0.00014538596912950139
2008,0.00014497627222907097
1546,0.00014355759075956398
239,0.000142960519860275
687,0.00014283045158168945
8158,0.00014268525129130234
7077,0.0001423253438294344
3018,0.00014199607479143279
1525,0.00014182115697608083
4633,0.00014178213228984777
7538,0.00014145156555264452
6615,0.0001412799820998944
4589,0.00014126165184412718
6161,0.000141138745664984
1223,0.00014105310782901374
3291,0.00014049564535061117
3952,0.0001399479523472192
3287,0.0001399294307034751
2724,0.00013986360856909166
4977,0.00013939462558709863
47,0.00013917332243153338
6378,0.00013890780417750813
2409,0.00013818812381194735
5893,0.00013755942402196288
3728,0.00013692868357505884
2534,0.0001365952074905782
4042,0.00013629301091578632
364,0.00013550751669148196
3489,0.0001352069802283018
4758,0.00013490009487821366
939,0.00013478916663605726
2539,0.00013457253807905916
646,0.00013452512886951015
15730,0.00013443881579737926
1485,0.00013440346010854264
2000,0.00013387521907098524
5503,0.00013386508593558977
1474,0.0001331147126241314
2052,0.00013302682028643154
4990,0.00013230367764444643
4895,0.00013229013491272132
1424,0.00013226147207768865
4639,0.00013221485882387055
1426,0.00013153926074413344
1348,0.00013148411023270707
654,0.00013139980657396106
4628,0.0001312327414465803
4016,0.0001311274387683521
